term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
1948,81,Douglas,DOUG,-1.752,0.275,-1.743,-2.321,-1.244
1949,81,Douglas,DOUG,-1.615,0.338,-1.602,-2.317,-0.987
1950,81,Douglas,DOUG,-1.501,0.359,-1.475,-2.276,-0.867
1951,81,Douglas,DOUG,-1.715,0.39,-1.688,-2.562,-1.034
1952,81,Douglas,DOUG,-2.37,0.4,-2.349,-3.233,-1.651
1953,81,Douglas,DOUG,-2.974,0.44,-2.962,-3.867,-2.165
1954,81,Douglas,DOUG,-3.573,0.461,-3.56,-4.516,-2.716
1955,81,Douglas,DOUG,-4.032,0.488,-4.016,-5.043,-3.124
1956,81,Douglas,DOUG,-4.43,0.511,-4.411,-5.479,-3.489
1957,81,Douglas,DOUG,-4.726,0.542,-4.704,-5.849,-3.716
1958,81,Douglas,DOUG,-4.962,0.584,-4.942,-6.168,-3.877
1959,81,Douglas,DOUG,-5.121,0.635,-5.095,-6.43,-3.943
1960,81,Douglas,DOUG,-5.255,0.683,-5.226,-6.682,-3.993
1961,81,Douglas,DOUG,-5.371,0.734,-5.339,-6.896,-4.036
1962,81,Douglas,DOUG,-5.459,0.78,-5.441,-7.051,-4.025
1963,81,Douglas,DOUG,-5.573,0.821,-5.552,-7.253,-4.051
1964,81,Douglas,DOUG,-5.742,0.84,-5.712,-7.472,-4.166
1965,81,Douglas,DOUG,-5.888,0.859,-5.869,-7.631,-4.275
1966,81,Douglas,DOUG,-6.014,0.886,-5.994,-7.813,-4.346
1967,81,Douglas,DOUG,-6.135,0.903,-6.099,-7.986,-4.465
1968,81,Douglas,DOUG,-6.248,0.92,-6.211,-8.129,-4.55
1969,81,Douglas,DOUG,-6.321,0.942,-6.282,-8.266,-4.586
1970,81,Douglas,DOUG,-6.403,0.955,-6.357,-8.406,-4.68
1971,81,Douglas,DOUG,-6.475,0.969,-6.424,-8.503,-4.729
1972,81,Douglas,DOUG,-6.495,0.996,-6.433,-8.561,-4.692
1973,81,Douglas,DOUG,-6.538,1.029,-6.476,-8.733,-4.689
1974,81,Douglas,DOUG,-6.599,1.051,-6.546,-8.815,-4.696
1965,97,Fortas,FORT,-1.256,0.283,-1.245,-1.837,-0.73
1966,97,Fortas,FORT,-1.352,0.243,-1.345,-1.85,-0.901
1967,97,Fortas,FORT,-1.162,0.262,-1.153,-1.694,-0.678
1968,97,Fortas,FORT,-1.018,0.315,-1.001,-1.673,-0.439
1938,80,Frankfurter,FRK,-1.292,0.337,-1.283,-1.985,-0.664
1939,80,Frankfurter,FRK,-1.223,0.252,-1.214,-1.744,-0.746
1940,80,Frankfurter,FRK,-0.716,0.211,-0.711,-1.145,-0.318
1941,80,Frankfurter,FRK,0.087,0.186,0.087,-0.277,0.457
1942,80,Frankfurter,FRK,0.415,0.179,0.412,0.07,0.77
1943,80,Frankfurter,FRK,0.424,0.179,0.422,0.084,0.776
1944,80,Frankfurter,FRK,0.413,0.169,0.411,0.089,0.749
1945,80,Frankfurter,FRK,0.675,0.217,0.672,0.258,1.099
1946,80,Frankfurter,FRK,1.031,0.207,1.028,0.637,1.448
1947,80,Frankfurter,FRK,0.915,0.202,0.912,0.54,1.319
1948,80,Frankfurter,FRK,0.655,0.185,0.653,0.301,1.031
1949,80,Frankfurter,FRK,0.375,0.227,0.37,-0.052,0.841
1950,80,Frankfurter,FRK,0.236,0.203,0.235,-0.163,0.64
1951,80,Frankfurter,FRK,0.082,0.199,0.081,-0.306,0.47
1952,80,Frankfurter,FRK,0.053,0.173,0.056,-0.285,0.387
1953,80,Frankfurter,FRK,0.379,0.196,0.378,0.001,0.77
1954,80,Frankfurter,FRK,0.381,0.209,0.379,-0.018,0.795
1955,80,Frankfurter,FRK,0.695,0.213,0.692,0.292,1.123
1956,80,Frankfurter,FRK,0.902,0.21,0.895,0.513,1.332
1957,80,Frankfurter,FRK,1.278,0.219,1.273,0.861,1.727
1958,80,Frankfurter,FRK,1.601,0.249,1.591,1.126,2.112
1959,80,Frankfurter,FRK,1.765,0.26,1.755,1.278,2.294
1960,80,Frankfurter,FRK,1.841,0.299,1.83,1.283,2.458
1961,80,Frankfurter,FRK,1.853,0.381,1.842,1.142,2.632
1993,109,Ginsburg,GIN,-0.324,0.231,-0.322,-0.786,0.119
1994,109,Ginsburg,GIN,-0.586,0.218,-0.58,-1.019,-0.168
1995,109,Ginsburg,GIN,-0.666,0.227,-0.659,-1.12,-0.231
1996,109,Ginsburg,GIN,-0.872,0.231,-0.867,-1.337,-0.437
1997,109,Ginsburg,GIN,-1.103,0.255,-1.098,-1.618,-0.611
1998,109,Ginsburg,GIN,-1.342,0.266,-1.339,-1.881,-0.835
1999,109,Ginsburg,GIN,-1.696,0.278,-1.689,-2.26,-1.171
2000,109,Ginsburg,GIN,-1.785,0.289,-1.777,-2.37,-1.233
2001,109,Ginsburg,GIN,-1.793,0.301,-1.785,-2.402,-1.222
2002,109,Ginsburg,GIN,-1.785,0.307,-1.779,-2.413,-1.208
2003,109,Ginsburg,GIN,-1.812,0.306,-1.805,-2.428,-1.232
2004,109,Ginsburg,GIN,-1.712,0.302,-1.701,-2.334,-1.15
2005,109,Ginsburg,GIN,-1.475,0.305,-1.467,-2.108,-0.899
2006,109,Ginsburg,GIN,-1.579,0.287,-1.573,-2.159,-1.039
2007,109,Ginsburg,GIN,-1.55,0.293,-1.544,-2.142,-0.995
2008,109,Ginsburg,GIN,-1.606,0.283,-1.599,-2.197,-1.085
2009,109,Ginsburg,GIN,-1.548,0.305,-1.536,-2.176,-0.987
2010,109,Ginsburg,GIN,-1.938,0.332,-1.928,-2.606,-1.325
2011,109,Ginsburg,GIN,-2.184,0.361,-2.172,-2.924,-1.511
2012,109,Ginsburg,GIN,-2.25,0.41,-2.232,-3.105,-1.485
2013,109,Ginsburg,GIN,-2.162,0.489,-2.138,-3.195,-1.272
1962,96,Goldberg,GOLD,-0.814,0.221,-0.804,-1.273,-0.407
1963,96,Goldberg,GOLD,-0.953,0.212,-0.949,-1.386,-0.549
1964,96,Goldberg,GOLD,-0.607,0.259,-0.598,-1.139,-0.124
1954,91,Harlan,HAR,0.911,0.333,0.903,0.281,1.591
1955,91,Harlan,HAR,1.138,0.264,1.13,0.646,1.672
1956,91,Harlan,HAR,1.352,0.237,1.345,0.905,1.833
1957,91,Harlan,HAR,1.648,0.241,1.64,1.196,2.143
1958,91,Harlan,HAR,1.781,0.268,1.776,1.277,2.322
1959,91,Harlan,HAR,1.91,0.273,1.903,1.39,2.467
1960,91,Harlan,HAR,2.001,0.3,1.99,1.45,2.614
1961,91,Harlan,HAR,2.293,0.318,2.284,1.693,2.937
1962,91,Harlan,HAR,2.511,0.316,2.503,1.919,3.162
1963,91,Harlan,HAR,2.524,0.327,2.517,1.915,3.198
1964,91,Harlan,HAR,2.332,0.34,2.325,1.7,3.037
1965,91,Harlan,HAR,2.2,0.314,2.188,1.613,2.843
1966,91,Harlan,HAR,1.879,0.284,1.873,1.352,2.459
1967,91,Harlan,HAR,1.324,0.255,1.315,0.852,1.852
1968,91,Harlan,HAR,0.809,0.226,0.799,0.393,1.279
1969,91,Harlan,HAR,0.688,0.219,0.683,0.267,1.13
1970,91,Harlan,HAR,0.59,0.23,0.583,0.159,1.054
1937,75,Hughes,HUG,-0.454,0.231,-0.451,-0.91,-0.004
1938,75,Hughes,HUG,-0.306,0.195,-0.302,-0.7,0.067
1939,75,Hughes,HUG,0.298,0.191,0.293,-0.069,0.684
1940,75,Hughes,HUG,0.84,0.24,0.833,0.384,1.33
1941,84,Jackson,JACK,0.226,0.218,0.227,-0.191,0.663
1942,84,Jackson,JACK,0.272,0.183,0.271,-0.075,0.634
1943,84,Jackson,JACK,0.188,0.178,0.189,-0.158,0.539
1944,84,Jackson,JACK,0.236,0.172,0.235,-0.103,0.583
1945,84,Jackson,JACK,0.638,0.269,0.638,0.115,1.167
1946,84,Jackson,JACK,1.046,0.228,1.04,0.615,1.501
1947,84,Jackson,JACK,1.183,0.229,1.178,0.754,1.653
1948,84,Jackson,JACK,1.33,0.233,1.322,0.894,1.807
1949,84,Jackson,JACK,0.935,0.285,0.928,0.405,1.516
1950,84,Jackson,JACK,0.821,0.233,0.815,0.379,1.299
1951,84,Jackson,JACK,0.744,0.221,0.735,0.324,1.198
1952,84,Jackson,JACK,0.959,0.232,0.951,0.523,1.433
1953,84,Jackson,JACK,0.881,0.281,0.871,0.356,1.472
2010,114,Kagan,KAG,-1.301,0.332,-1.287,-1.98,-0.692
2011,114,Kagan,KAG,-1.265,0.305,-1.25,-1.903,-0.707
2012,114,Kagan,KAG,-1.49,0.323,-1.477,-2.151,-0.899
2013,114,Kagan,KAG,-1.395,0.396,-1.377,-2.223,-0.679
1987,106,Kennedy,KEN,1.15,0.283,1.141,0.615,1.725
1988,106,Kennedy,KEN,1.421,0.232,1.416,0.983,1.891
1989,106,Kennedy,KEN,1.321,0.219,1.316,0.907,1.761
1990,106,Kennedy,KEN,1.123,0.215,1.118,0.714,1.566
1991,106,Kennedy,KEN,0.764,0.202,0.76,0.377,1.178
1992,106,Kennedy,KEN,0.906,0.217,0.903,0.484,1.343
1993,106,Kennedy,KEN,0.742,0.217,0.739,0.325,1.179
1994,106,Kennedy,KEN,0.688,0.213,0.685,0.278,1.115
1995,106,Kennedy,KEN,0.573,0.218,0.569,0.159,1.017
1996,106,Kennedy,KEN,0.692,0.214,0.687,0.283,1.115
1997,106,Kennedy,KEN,0.636,0.225,0.631,0.209,1.086
1998,106,Kennedy,KEN,0.737,0.229,0.733,0.299,1.201
1999,106,Kennedy,KEN,0.946,0.226,0.944,0.519,1.407
2000,106,Kennedy,KEN,0.89,0.224,0.884,0.469,1.339
2001,106,Kennedy,KEN,0.99,0.227,0.985,0.56,1.447
2002,106,Kennedy,KEN,0.837,0.237,0.83,0.386,1.318
2003,106,Kennedy,KEN,0.73,0.223,0.724,0.308,1.186
2004,106,Kennedy,KEN,0.514,0.22,0.512,0.097,0.964
2005,106,Kennedy,KEN,0.417,0.228,0.413,-0.02,0.877
2006,106,Kennedy,KEN,0.413,0.207,0.406,0.017,0.833
